PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40059817,Repurposing Secukinumab and Dapagliflozin as Candidate Therapies to Mitigate the ,2025,,,N/A
40059813,Dimethyl Fumarate Attenuates Cyclophosphamide-Induced Bladder Damage and Enhances ,2025,,,N/A
40059806,Molecular Mechanisms of Neutrophil Extracellular Traps in Promoting Gastric ,2025,,,N/A
40059804,Availability and Characteristics of Support Groups for People With Head and Neck ,2025,,,N/A
40059798,Copper(II) Cyclopeptides with High ROS-Mediated Cytotoxicity.,2025,"Brea, Jose, Barreiro-Pineiro, Natalia","Innopharma Drug Screening and Pharmacogenomics Platform. Center for Research in , Innopharma Drug Screening and Pharmacogenomics Platform. Center for Research in ",N/A
40059794,Emerging Trends in Modulation of Transient Receptor Potential Canonical 6 ,2025,,,N/A
40059767,Incidence of and survival after surgery for metastatic spine disease: a ,2025,,,leevi.toivonen@pirha.fi.
40059762,Causes of death in locally advanced esophageal cancer undergoing neoadjuvant ,2025,,,journals.permissions@oup.com.
40059690,[Current situation and prospect of minimal residual disease in pediatric T cell ,2025,,,N/A
40059687,[Clinical features and prognosis of splenic marginal zone lymphoma with POD24].,2025,,,N/A
